INDICATOR:,UNIT:,"Status of indicator (existing, proposed).",Availability of data: Indicator/Signal/Potential,Qualitative indicator,Boolean indicator (yes/No),Quantitative indicator,Temporal,Geographic,Recent year,EU,National,Regional/Cities,Products /  Companies,Description of the indicator/signal/potential,Methodological considerations,Required methodology,Headline,Societal Goals,Environmental,Economic,Social,Circularity,Agriculture,Forestry,Acquaculture,Secondary production systems,Waste and Circularity,Ecosystem conditions,Trade,Primary sectors,Stock,Processing/Manufacturing services,Users,Disposal/Cascading/Recycling/Reusing,Whole chain,SDG 1: No poverty,SDG 2: Zero hunger,SDG 3: Good health and well being,SDG 4: Quality education,SDG 5: Gender equality,SDG 6: Clean water and sanitation,SDG 7: Affordable and clean energy,SDG 8: Decent work and economic growth,"SDG 9: Industry, innovation and infrastructure",SDG 10: Reduced inequalities,SDG 11: Sustainable cities and communities,SDG 12: Responsible consumption and production,SDG 13: Climate action,SDG 14: Life below water,SDG 15: Life on land,"SDG 16: Peace, justice, and strong institutions",SDG 17: Partnerships for the goals,Source,Link to reference,Link to data
Total fixed assets,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Agricultural land and farm buildings and forest capital + Buildings + Machinery and equipment + Breeding livestock, Intangible assets and other non-current assets.
Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
"Land, permanent crops and quotas",€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Agricultural land, permanent crops, improvements to land, quotas and other prescribed rights (including acquisition costs) and forest land. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Agricultural land,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Agricultural land owned by the holding including land improvements (e.g. fencing, drainage, fixed irrigation equipment) belonging to the holder. Closing valuation.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Forest land including standing timber,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Forest land in owner occupation included in the agricultural holding. Closing valuation.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm buildings,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Buildings belonging to the holder whatever the type of occupancy of the land. Closing valuation,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Machinery and equipment,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Tractors, motor cultivators, lorries, vans, cars, major and minor farming equipment. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Breeding livestock,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Value at closing valuation of breeding heifers, dairy cows, other cows, breeding: goats, ewes, sows. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Intangible assets,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,All intangible assets. Closing valuation.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total current assets,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Non-breeding livestock + Circulating capital (Stocks of agricultural products + Other circulating capital). Closing valuation,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Non-breeding livestock,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Value at closing valuation of all livestock except breeding livestock (SE460) (see RI/CC 882 rev. 6). Closing valuation,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Stock of agricultural products,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Value at closing valuation of all crop and livestock products (except young plantations).,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Inventories,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Value at closing valuation of all stocks of products owned by the holding that can be used either as inputs (including feeding stuff) or are held for sale whether produced by the holding or purchased,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other circulating capital,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Cash and other assets that can be easily converted to cash, short-term assets, amounts owed to the holding, normally arising from business activities, any other assets that are easily sold or expected to be paid within a year. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total liabilities,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Value at closing valuation of total of (long-, medium- or short-term) loans still to be repaid.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Long & medium-term loans,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Loans contracted for a period of more than one year.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Short-term loans,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Loans contracted for less than one year and outstanding cash payments.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
