"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Farm Net Value Added / AWU","€/ AWU","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Farm Net Value Added expressed per agricultural work unit (AWU). It takes into account differences in the labour force to be remunerated per holding. SE425 is a weighted mean (average) calculated as a [sum of sample farm incomes x sample farm weights] / [sum of sample farm AWU x sample farm weights].","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Farm Net Value Added / AWU - MEDIAN","€/ AWU","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Median value of Farm Net Value Added by AWU (SE425). Half of the represented population of farms has the income lower than the median and half the higher than the median. Calculated only for at least 30 sample farms.
SE425M, a weighted median for SE425, splits into halves the represented population farms ordered by value of their income indicator SE425:","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Family Farm Income / FWU","€/ FWU","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Family Farm Income expressed per family labour unit. Takes into account differences in the family labour force to be remunerated per holding. Family farm income SE430 is calculated on a subset of farms having unpaid work, that is where Unpaid labour input SE015 > 0.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total assets closing valuation","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Fixed assets + current assets.
Only assets in ownership are taken into account.
Capital indicators are based on the value of the various assets at closing valuation.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total assets, opening valuation","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Fixed assets + current assets.
Only assets in ownership are taken into account.
Capital indicators are based on the value of the various assets at opening valuation..","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total fixed assets","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Agricultural land and farm buildings and forest capital + Buildings + Machinery and equipment + Breeding livestock, Intangible assets and other non-current assets.
Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Land, permanent crops and quotas","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Agricultural land, permanent crops, improvements to land, quotas and other prescribed rights (including acquisition costs) and forest land. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Agricultural land","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Agricultural land owned by the holding including land improvements (e.g. fencing, drainage, fixed irrigation equipment) belonging to the holder. Closing valuation.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Forest land including standing timber","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Forest land in owner occupation included in the agricultural holding. Closing valuation.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Farm buildings","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Buildings belonging to the holder whatever the type of occupancy of the land. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Machinery and equipment","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Tractors, motor cultivators, lorries, vans, cars, major and minor farming equipment. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Breeding livestock","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Value at closing valuation of breeding heifers, dairy cows, other cows, breeding: goats, ewes, sows. Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Intangible assets","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"All intangible assets. Closing valuation.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total current assets","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Non-breeding livestock + Circulating capital (Stocks of agricultural products + Other circulating capital). Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Non-breeding livestock","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Value at closing valuation of all livestock except breeding livestock (SE460) (see RI/CC 882 rev. 6). Closing valuation","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
