INDICATOR:;UNIT:;Status of indicator (existing, proposed).;Availability of data: Indicator/Signal/Potential;Qualitative indicator;Boolean indicator (yes/No);Quantitative indicator;Temporal;Geographic;Recent year;EU;National;Regional/Cities;Products /  Companies;Methodological considerations;Required methodology;Headline;Societal Goals;Environmental;Economic;Social;Circularity;Agriculture;Forestry;Acquaculture;Secondary production systems;Waste and Circularity;Ecosystem conditions;Trade;Primary sectors;Stock;Processing/Manufacturing services;Users;Disposal/Cascading/Recycling/Reusing;Whole chain;SDG 1: No poverty;SDG 2: Zero hunger;SDG 3: Good health and well being;SDG 4: Quality education;SDG 5: Gender equality;SDG 6: Clean water and sanitation;SDG 7: Affordable and clean energy;SDG 8: Decent work and economic growth;SDG 9: Industry, innovation and infrastructure;SDG 10: Reduced inequalities;SDG 11: Sustainable cities and communities;SDG 12: Responsible consumption and production;SDG 13: Climate action;SDG 14: Life below water;SDG 15: Life on land;SDG 16: Peace, justice, and strong institutions;SDG 17: Partnerships for the goals;Source;Link to reference;Link to data
Machinery and equipment;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Breeding livestock;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Intangible assets;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total current assets;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Non-breeding livestock;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Stock of agricultural products;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Inventories;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other circulating capital;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total liabilities;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Long & medium-term loans;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Short-term loans;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Net worth;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Change in net worth;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Average farm capital;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Gross Investment on fixed assets;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Net Investment on fixed assets;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Cash Flow (1);€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Cash Flow (2);€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Cash flow / farm total capital;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
